Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename
36355225,"Jan 6, 2013, 6:21:48 PM",skyline drive closed sp explored wine country,Ride,,8717,52.19,,FALSE,,activities/36355225.gpx
36714785,"Jan 8, 2013, 12:24:27 PM",recovery mtb to Wakefield,Ride,,3770,21.89,,FALSE,,activities/36714785.gpx
36846979,"Jan 8, 2013, 10:12:25 PM",evening pre-swim run with speed repeat up incline,Run,,1702,6.03,,FALSE,,activities/36846979.gpx
36978836,"Jan 9, 2013, 10:12:08 PM",round 2 on commute home. stop lights blow,Ride,,2424,17.31,,FALSE,,activities/36978836.gpx
36978860,"Jan 9, 2013, 1:17:25 PM",first half of commute to work,Ride,,2475,17.19,,FALSE,,activities/36978860.gpx
37066489,"Jan 10, 2013, 5:35:43 PM",Attack Flowing Springs and stop at Hog Island :),Ride,,6286,43.47,,FALSE,,activities/41429070.tcx.gz
37465505,"Jan 13, 2013, 9:47:40 PM",soupy mtb night ride to Wakefield,Ride,,3779,22.94,,FALSE,,activities/37465505.gpx
37472016,"Jan 13, 2013, 11:23:57 PM",post mtb long transition run in dark...wet! ,Run,,3128,8.26,,FALSE,,activities/37472016.gpx
39183769,"Jan 30, 2013, 4:23:37 PM",blazing new trails on long muddy run through lake Fairfax,Run,,3968,10.29,,FALSE,,activities/39183769.gpx
44125105,"Mar 9, 2013, 11:30:20 PM",Transition Run after 40 mile ride.  Solid!,Run,,1309,4.02,20,FALSE,,activities/48955476.tcx.gz
44125106,"Mar 10, 2013, 9:45:14 PM",Long trail run.  Negative split the bitch!,Run,,3945,11.26,72,FALSE,,activities/48955475.tcx.gz
44125107,"Mar 10, 2013, 8:21:49 PM",Warmup for long run with very technical MTB,Ride,,3734,11.61,22,FALSE,,activities/48955477.tcx.gz
44125109,"Mar 11, 2013, 5:48:15 PM",Lake Fairfax MTB at lunch.  Hit it while it's dry,Ride,,3758,18.75,24,FALSE,,activities/48955479.tcx.gz
44125112,"Mar 9, 2013, 8:51:23 PM",Fairfax to Cabin John on road bike,Ride,,8537,62.99,52,FALSE,,activities/48955478.tcx.gz
44712092,"Mar 14, 2013, 2:04:54 PM",MTB up Neversink MTN....Hustling :),Ride,,3997,20.33,32,FALSE,,activities/49582616.tcx.gz
44712093,"Mar 14, 2013, 3:40:10 PM",Transition Run @ Nolde Forest...Flying!,Run,,2895,9.01,52,FALSE,,activities/49582615.tcx.gz
45433715,"Mar 22, 2013, 7:51:42 PM",Ride to Chain Bridge and back...windy!,Ride,,6511,46.01,40,FALSE,,activities/50347637.tcx.gz
45735458,"Mar 24, 2013, 2:52:37 PM",Transition Run off-road...scaring the deer,Run,,1001,3.12,16,FALSE,,activities/50672481.tcx.gz
45735461,"Mar 23, 2013, 4:42:01 PM",Badass Run...HRM and miles splits are awesome...nailed it,Run,,3968,13.27,94,FALSE,,activities/50672476.tcx.gz
45735466,"Mar 24, 2013, 12:51:01 PM",Ride with Brent up Mt Misery and aerobic on trail,Ride,,6631,45.94,38,FALSE,,activities/50672478.tcx.gz
46648029,"Mar 31, 2013, 3:06:21 PM",long trail run on dirty jersey,Run,,3789,12.08,,FALSE,,activities/46648029.gpx
47108366,"Apr 2, 2013, 9:28:34 PM",Smooth run with 3 efforts on an incline,Run,,2908,9.83,48,FALSE,,activities/52150184.tcx.gz
47109133,"Mar 30, 2013, 8:22:02 PM",Xterra Jersey Devil Run Preview,Run,,2589,6.59,30,FALSE,,activities/52151043.tcx.gz
47109137,"Mar 30, 2013, 6:41:56 PM",Xterra Jersey Devil Ride Preview,Ride,,4993,20.29,24,FALSE,,activities/52151046.tcx.gz
47109138,"Apr 1, 2013, 6:31:49 PM",Endurance Ride during lunch,Ride,,6029,50.51,39,FALSE,,activities/52151044.tcx.gz
47336870,"Apr 4, 2013, 5:28:46 PM",Afternoon run with 45 second pickups,Run,,2497,8.54,42,FALSE,,activities/52394969.tcx.gz
47336872,"Apr 3, 2013, 9:40:06 PM",Evening MTB in Lake Fairfax,Ride,,5497,25.72,32,FALSE,,activities/52394968.tcx.gz
47395606,"Apr 5, 2013, 8:56:37 PM",Transition Run with the pup,Run,,1151,3.8,18,FALSE,,activities/52459197.tcx.gz
47395608,"Apr 5, 2013, 7:09:06 PM",Over gearing ride on the trail...what a burner!,Ride,,4781,35,30,FALSE,,activities/52459200.tcx.gz
47786709,"Apr 7, 2013, 9:23:45 PM",2nd MTB of the day @ Fountain Head (Beg + Int trails),Ride,,2854,10.22,22,FALSE,,activities/52884826.tcx.gz
47786711,"Apr 7, 2013, 10:24:14 PM",Transition Run @ Fountain Head,Run,,3679,9.66,54,FALSE,,activities/52884829.tcx.gz
47786712,"Apr 7, 2013, 1:59:30 PM",Xterra Charlottesville Course Preview,Ride,,5421,14.96,34,FALSE,,activities/52884828.tcx.gz
48236063,"Apr 10, 2013, 9:54:02 PM",Lake Fairfax MTB...recovery style,Ride,,3920,20.11,25,FALSE,,activities/53366682.tcx.gz
48236073,"Apr 9, 2013, 6:09:35 PM",Ashburn to Purcelville with 3-4 mile hill effort and stop to take pictures!,Ride,,8299,63.28,59,FALSE,,activities/53366687.tcx.gz
48324024,"Apr 11, 2013, 3:54:15 PM",Tear up Wakefield MTB and then recovery home,Ride,,3445,23.55,23,FALSE,,activities/53459677.tcx.gz
50024407,"Apr 18, 2013, 10:01:16 PM",Aerobic Run...last activity before Zones,Run,,2484,7.66,35,FALSE,,activities/55276554.tcx.gz
50024411,"Apr 21, 2013, 9:05:24 PM","Transition Run, negative split by 30-45 sec + CD",Run,,3092,8.79,47,FALSE,,activities/55276555.tcx.gz
50024412,"Apr 17, 2013, 9:43:03 PM",Lake Fairfax MTB fast skills + recovery on way back,Ride,,3981,19.95,24,FALSE,,activities/55276552.tcx.gz
50024413,"Apr 21, 2013, 7:38:58 PM",Fountain Head MTB post Zones Swim Meet,Run,,4315,13.61,51,FALSE,,activities/55276557.tcx.gz
50486409,"Apr 24, 2013, 6:13:40 PM",MTB Wakefield shred. lost first 40' of ride,Ride,,2080,13.37,,FALSE,,activities/50486409.gpx
51038771,"Apr 27, 2013, 7:05:15 PM",pre xterra race course ride with openers,Ride,,2190,8.66,,FALSE,Kestrel Legend,activities/51038771.gpx
51290970,"Apr 28, 2013, 2:18:39 PM",Xterra Jersey Devil Run,Run,,1494,4.96,,FALSE,,activities/56640532.tcx.gz
51290971,"Apr 28, 2013, 1:21:12 PM",Xterra Jersey Devil Bike (2 loops),Ride,,3439,21.36,,FALSE,Kestrel Legend,activities/56640531.tcx.gz
51836511,"May 1, 2013, 10:52:28 PM",Building transition run,Run,,1320,4.82,24,FALSE,,activities/57221338.tcx.gz
51836517,"May 1, 2013, 8:42:28 PM",Pulled over by cops. Aerobic Ride with 4 efforts,Ride,,6760,44.44,37,FALSE,Kestrel Legend,activities/57221334.tcx.gz
51836518,"Apr 30, 2013, 7:17:54 PM",Hill repeats in the rain with Titus,Ride,,4205,30.26,30,FALSE,Kestrel Legend,activities/57221339.tcx.gz
52605311,"May 5, 2013, 9:10:43 PM",Transition Run after a mean faceplant on MTB,Run,,1061,3.33,15,FALSE,,activities/58034282.tcx.gz
52605340,"May 5, 2013, 7:02:48 PM",MTB with lots of technical skills,Ride,,7101,31.14,35,FALSE,,activities/58034308.tcx.gz
53313607,"May 9, 2013, 5:34:18 PM","Arlington Hills, Attack Glebe, Ride Home in Big Ring No Matter WHAT!",Ride,,6800,48.78,45,FALSE,Kestrel Legend,activities/58801475.tcx.gz
54006008,"May 13, 2013, 3:47:02 PM",Recovery MTB @ Wakefield with lots of technical stuff to fall on,Ride,,3884,14.2,16,FALSE,,activities/59536967.tcx.gz
54216730,"May 14, 2013, 6:37:03 PM","10' ateady climb past Leesburg. Shut it down, recover for weekend Xterra",Ride,,5427,44.26,36,FALSE,Kestrel Legend,activities/59761880.tcx.gz
54382711,"May 15, 2013, 6:14:03 PM",MTB Lake Fairfax with sore ass wrist,Ride,,4905,19.26,21,FALSE,Kestrel Legend,activities/59942189.tcx.gz
55782070,"May 22, 2013, 6:21:31 PM",Overgearing work wild boy style on tired legs. Fried my brain,Ride,,6013,44.24,48,FALSE,Kestrel Legend,activities/61437547.tcx.gz
55935660,"May 23, 2013, 6:22:51 PM",MTB Titus style with technical skills (Figure 8's and curb drills),Ride,,3453,16.25,24,FALSE,Kestrel Legend,activities/61600318.tcx.gz
56072578,"May 24, 2013, 6:51:20 PM",CT Rocky Fun,Ride,,10614,40.9,50,FALSE,Kestrel Legend,activities/61748108.tcx.gz
56685321,"May 27, 2013, 5:32:43 PM",Negative Split Trail Run @ Fountainhead.  Attack climbs,Run,,6274,16.54,115,FALSE,,activities/62398863.tcx.gz
56686066,"May 27, 2013, 7:38:39 PM",MTB post run work on tech skills @ Fountainhead,Ride,,6832,16.9,34,FALSE,,activities/62399609.tcx.gz
57621560,"May 31, 2013, 10:57:30 PM",Test ride the rental MTB,Ride,,4143,16.63,24,FALSE,Kestrel Legend,activities/63394823.tcx.gz
58508685,"Jun 5, 2013, 4:12:19 PM",Ashburn run on horse trail with 4 pickups,Run,,1984,5.85,,FALSE,,activities/64334833.tcx.gz
58508691,"Jun 5, 2013, 9:03:17 PM",Race Prep ride with some efforts on trail,Ride,,3643,26.9,22,FALSE,Kestrel Legend,activities/64334832.tcx.gz
60020095,"Jun 12, 2013, 11:49:00 PM",Shake out from Xterra with one serious rip,Ride,,3440,27.04,26,FALSE,Kestrel Legend,activities/65933113.tcx.gz
60133681,"Jun 13, 2013, 4:44:09 PM",Lunch run trying with effort at the end. Shake out the race junk,Run,,1925,6.83,40,FALSE,,activities/66054040.tcx.gz
60844279,"Jun 16, 2013, 9:37:46 PM",Progressive transition run,Run,,2058,6.52,35,FALSE,,activities/66812658.tcx.gz
60844280,"Jun 14, 2013, 9:49:55 PM",Friday night scamper,Run,,1975,7.24,39,FALSE,,activities/66812660.tcx.gz
60844284,"Jun 16, 2013, 7:16:51 PM",Ride with neighbor. Crush a few climbs,Ride,,7547,52.37,40,FALSE,Kestrel Legend,activities/66812655.tcx.gz
61337758,"Jun 18, 2013, 2:21:43 PM",Prep for Sunday's race with rainy recoverish ride. First time on TT bike in 9 months,Ride,,3069,24.79,18,FALSE,Kestrel Legend,activities/67339176.tcx.gz
61759993,"Jun 20, 2013, 8:49:22 PM","Yup, I was that guy in full TT race gear...including the blast shield",Ride,,3440,27.01,22,FALSE,,activities/67785868.tcx.gz
62083264,"Jun 22, 2013, 1:47:30 PM",Pre-race openers...pee'd while riding off TT bike.  skills,Ride,,1783,15.88,,FALSE,Kestrel Legend,activities/68153718.tcx.gz
62880989,"Jun 25, 2013, 4:32:16 PM",Aerobic run in the heat of the day. Not smart,Run,,3940,10.01,,FALSE,,activities/69048581.tcx.gz
62880998,"Jun 24, 2013, 3:18:50 PM",Commute to and from work...way to fast post race,Ride,,33225,53.29,43,FALSE,Kestrel Legend,activities/69048583.tcx.gz
63099971,"Jun 26, 2013, 10:30:43 PM",Recovery ride on cross bike to Wakefield & trying to rollover log piles,Ride,,4259,24.34,22,FALSE,Kestrel Legend,activities/69281824.gpx.gz
63468340,"Jun 28, 2013, 6:50:03 PM",Aerobic run before t-storm,Run,,2240,6.55,32,FALSE,,activities/69670533.tcx.gz
63468342,"Jun 28, 2013, 10:50:56 PM",Post t-storm aerobic ride with one effort,Ride,,3791,30.96,25,FALSE,Kestrel Legend,activities/69670532.tcx.gz
63673101,"Jun 29, 2013, 10:42:25 PM","Track Workout - 8 x (400 fast + 400 easy + 1' rest).  Drop 67"" on last one!",Run,,3629,11.32,75,FALSE,,activities/69887059.tcx.gz
63926924,"Jun 30, 2013, 9:01:21 PM",Transition Run - finished strong,Run,,1507,4.3,24,FALSE,,activities/70154158.tcx.gz
63926934,"Jun 30, 2013, 5:24:47 PM",Ride to Great Falls and back.  Dropped all wheelsuckers.  Feeling zapped,Ride,,12048,83.83,70,FALSE,Kestrel Legend,activities/70154159.tcx.gz
64816087,"Jul 4, 2013, 8:45:05 PM",Dirty Jerz Recovery Ride,Ride,,4857,32.26,25,FALSE,Kestrel Legend,activities/71092821.tcx.gz
65736135,"Jul 5, 2013, 1:31:17 PM",Transition Run with 3 serious efforts,Run,,1117,3.77,,FALSE,,activities/72066178.tcx.gz
65736136,"Jul 8, 2013, 10:32:15 PM",Crossbike through the muck with 3 x (2-3' tempo efforts),Ride,,3844,24.34,21,FALSE,Kestrel Legend,activities/72066175.tcx.gz
65736137,"Jul 7, 2013, 5:22:50 PM",Boardwalk progressive 10K + easy remaining 2 miles,Run,,3864,12.97,,FALSE,,activities/72066176.tcx.gz
65736138,"Jul 5, 2013, 11:33:52 AM",Overgearing work in the Dirty Jerz,Ride,,6472,52.71,46,FALSE,Kestrel Legend,activities/72066177.tcx.gz
66345050,"Jul 11, 2013, 3:09:47 PM",Riding Titus's MTB. Prerace tuneup @ lake fairfax,Ride,,3361,13.55,,FALSE,Kestrel Legend,activities/66345050.gpx
67590009,"Jul 16, 2013, 6:28:53 PM","Fun ride stuffing 26"" tire into 29"". Fits like a glove!",Ride,,4567,15.67,21,FALSE,Kestrel Legend,activities/74008789.tcx.gz
67845271,"Jul 17, 2013, 7:05:46 PM",Lunch time run with few striders and one effort. Loved the sauna,Run,,2149,6.18,35,FALSE,,activities/74273745.tcx.gz
68041155,"Jul 18, 2013, 4:05:19 PM",95 degree progressive 3 mile run and easy cooldown with the pup,Run,,2322,6.75,,FALSE,,activities/74479652.tcx.gz
68555039,"Jul 20, 2013, 11:24:04 AM",Hammerfest at beach with Tommy (last 3 miles @ 26-27 mph),Ride,,7883,63.56,58,FALSE,Kestrel Legend,activities/75024583.tcx.gz
68555196,"Jul 20, 2013, 1:44:59 PM",Transition run in the heat,Run,,1512,4.47,27,FALSE,,activities/75024754.tcx.gz
69053555,"Jul 22, 2013, 6:18:28 PM",Power goes out at work so I light it up MTB'ing,Ride,,5502,24.23,,FALSE,Kestrel Legend,activities/75557240.tcx.gz
69613486,"Jul 24, 2013, 10:17:32 PM",Skills MTB ride at Lake Fairfax,Ride,,6107,23.46,32,FALSE,Kestrel Legend,activities/76147370.tcx.gz
70027919,"Jul 26, 2013, 7:50:51 PM",This will pay off next week.  3 x 10' TT repeats,Ride,,5348,42.95,40,FALSE,Kestrel Legend,activities/76586199.tcx.gz
73258874,"Aug 8, 2013, 10:42:47 PM",Long run with hill repeats dancing over rocks,Run,,3829,11.68,79,FALSE,,activities/79995342.tcx.gz
73734041,"Aug 10, 2013, 8:23:41 PM",3 x 10' repeats.  Faster than 2 weeks ago. Boom...sauce!,Ride,,6299,48.83,56,FALSE,Kestrel Legend,activities/80496318.tcx.gz
73734507,"Aug 10, 2013, 10:12:18 PM",Transition Run with 1 mile @ race effort,Run,,1486,4.82,27,FALSE,,activities/80496902.tcx.gz
74023907,"Aug 11, 2013, 11:24:25 PM",Transition run with the pup...nice and smooth,Run,,1335,4.13,19,FALSE,,activities/80805086.tcx.gz
74023913,"Aug 11, 2013, 9:34:42 PM",MTB Wakefield and have fun!,Ride,,5965,32.31,35,FALSE,Kestrel Legend,activities/80805085.tcx.gz
74204425,"Aug 12, 2013, 6:24:21 PM",KOM for peeing off the bike,Ride,,3650,28.91,,FALSE,Kestrel Legend,activities/74204425.gpx
75870189,"Aug 18, 2013, 3:26:44 PM",Cape May Ride with the boys post race,Ride,,4295,30.57,,FALSE,Kestrel Legend,activities/82755496.tcx.gz
75975675,"Aug 19, 2013, 7:31:26 PM",Went for a walk on the bike...recovery ride,Ride,,3749,29.48,17,FALSE,Kestrel Legend,activities/82867390.tcx.gz
76798461,"Aug 21, 2013, 9:54:06 PM",HARD intervals at end of commute home,Ride,,63075,32.24,37,FALSE,Kestrel Legend,activities/83732108.tcx.gz
76798463,"Aug 22, 2013, 3:25:28 PM",Hill Repeats with Titus...zapped,Ride,,4714,34.18,38,FALSE,Kestrel Legend,activities/83732113.tcx.gz
77209110,"Aug 24, 2013, 4:20:08 PM",Long run home from swim practice. Gravel & downhills hurt,Run,,5904,19.32,,FALSE,,activities/84165202.tcx.gz
77805611,"Aug 26, 2013, 10:17:48 PM",MTB on new ride!  Recovery except 3 spots.,Ride,,4100,25.28,23,FALSE,Kestrel Legend,activities/84798593.tcx.gz
78031980,"Aug 27, 2013, 7:15:08 PM",Transition run like a mountain goat,Run,,1591,4.07,29,FALSE,,activities/85038274.tcx.gz
78031986,"Aug 27, 2013, 3:29:00 PM",MTB Signal Knob in GW State Park.  RAD!!!!,Ride,,12916,52.08,64,FALSE,Kestrel Legend,activities/85038272.tcx.gz
78796379,"Aug 30, 2013, 9:09:26 PM",Progression run to the end of the jetty and back. Didn't fall in :),Run,,5176,8.16,55,FALSE,,activities/85845055.tcx.gz
78947750,"Aug 31, 2013, 2:23:43 PM",Intervals in Cape May with Vince. BLAST OFF!,Ride,,4760,41.81,40,FALSE,Kestrel Legend,activities/86005678.tcx.gz
80394088,"Sep 5, 2013, 5:24:36 PM",Looong Transition Trail Run w 3 Descending Hill Repeats,Run,,4188,10.79,64,FALSE,,activities/87538821.tcx.gz
80394090,"Sep 5, 2013, 4:10:32 PM",MTB Lake Fairfax with 2 Hill Efforts and lots of handling skills,Ride,,3804,17.72,26,FALSE,Kestrel Legend,activities/87538822.tcx.gz
80849324,"Sep 7, 2013, 10:32:08 PM",Transition Trail Run up Elizabeth Furnace,Run,,1879,4.85,32,FALSE,,activities/88027560.tcx.gz
80849334,"Sep 7, 2013, 7:25:28 PM","MTB Signal Knob, Mine Mountain Rd and Bear Wallow...no bears though, thankfully",Ride,,10570,49.02,63,FALSE,Kestrel Legend,activities/88027559.tcx.gz
81156394,"Sep 8, 2013, 3:49:06 PM",Pre-run MTB ride @ Fountainhead,Ride,,2493,10.06,20,FALSE,Kestrel Legend,activities/88357893.tcx.gz
81156395,"Sep 8, 2013, 4:40:56 PM",Long SLOW Transition Trail Run,Run,,4909,11.7,,FALSE,,activities/88357891.tcx.gz
81552977,"Sep 10, 2013, 5:52:00 PM",Recovery MTB...11 days till Xterra Nats. Getting pumped!,Ride,,4075,21.89,22,FALSE,Kestrel Legend,activities/88781137.tcx.gz
81828947,"Sep 11, 2013, 9:49:14 PM",Race Prep: 3 x VO2 max intervals,Ride,,3793,28.45,27,FALSE,Kestrel Legend,activities/89072639.tcx.gz
82245483,"Sep 13, 2013, 10:05:51 PM",3 States Run post white water rafting,Run,,3409,8.91,46,FALSE,,activities/89516485.tcx.gz
82751739,"Sep 15, 2013, 1:41:44 PM",MTB on Canal with 4 x race efforts...6 days till Utah Nats,Ride,,5319,33.11,30,FALSE,Kestrel Legend,activities/90053833.tcx.gz
82964500,"Sep 16, 2013, 11:33:09 PM",Utah Race Recon Ride up Sardine Peak...kept it light,Ride,,7050,18.94,29,FALSE,Kestrel Legend,activities/90282972.tcx.gz
83160794,"Sep 18, 2013, 12:46:11 AM",Dimple Dell Ravine Tune-up Run at Elevation,Run,,2241,6.14,30,FALSE,,activities/90489129.tcx.gz
85083897,"Sep 21, 2013, 5:27:15 PM",Xterra Nationals: Run Course,Run,,3280,9.53,,FALSE,,activities/92550069.tcx.gz
85083903,"Sep 24, 2013, 9:38:16 PM",Recovery Ride through Wyoming,Ride,,6078,33.83,,FALSE,Kestrel Legend,activities/92550080.tcx.gz
85083907,"Sep 21, 2013, 3:36:44 PM",Xterra Nationals: Bike Course,Ride,,6559,27.74,,FALSE,Kestrel Legend,activities/92550073.tcx.gz
85083909,"Sep 22, 2013, 8:38:06 PM",Grand Teton Hike,Hike,,13581,13.27,,,,activities/92550077.tcx.gz
85975542,"Sep 29, 2013, 8:59:58 PM",Hilly transition 10K run,Run,,3993,10.05,,FALSE,,activities/93531038.tcx.gz
85975552,"Sep 29, 2013, 7:21:40 PM",Having fun @ fountainhead,Ride,,4895,13.64,,FALSE,Kestrel Legend,activities/93531036.tcx.gz
86252094,"Oct 1, 2013, 4:33:31 PM",Lunch MTB with Titus,Ride,,4399,22.33,,FALSE,Kestrel Legend,activities/86252094.gpx
87650073,"Oct 7, 2013, 9:15:53 PM",10K aerobic->tempo (43:45) + 6 miles hilly,Run,,6684,19.61,,FALSE,,activities/95333393.tcx.gz
88912773,"Oct 13, 2013, 8:38:14 PM",2 hr trail run. nailed KOM 75' in. Totally ready for MAUI :),Run,,8239,19.91,,FALSE,,activities/96702927.tcx.gz
90447705,"Oct 20, 2013, 4:28:00 PM",Fountianhead Transition Run,Run,,1455,4.04,,FALSE,,activities/98442688.tcx.gz
90447711,"Oct 20, 2013, 3:06:18 PM",MTB @ Fountainhead - long loop,Ride,,4394,14.8,,FALSE,Kestrel Legend,activities/98442687.tcx.gz
93407915,"Nov 5, 2013, 5:58:41 PM",MTB ride to Wakefield & Back,Ride,,4927,27.85,,FALSE,Kestrel Legend,activities/101854760.tcx.gz
93609612,"Nov 6, 2013, 8:25:02 PM",Lake Fairfax MTB exploration session,Ride,,4889,19.26,,FALSE,Kestrel Legend,activities/102082524.tcx.gz
93722551,"Nov 7, 2013, 3:47:48 PM",Romping in the rain,Run,,1499,5.31,,FALSE,,activities/93722551.gpx
94581061,"Nov 11, 2013, 8:48:04 PM",MTB Lake Fairfax Loop,Ride,,5034,26.01,,FALSE,Kestrel Legend,activities/103199001.tcx.gz
94971037,"Nov 13, 2013, 8:35:38 PM",Cold fingers and lots of deer make for an awesome MTB,Ride,,6548,26.03,,FALSE,Kestrel Legend,activities/103663384.tcx.gz
95753157,"Nov 17, 2013, 4:48:38 PM","Wet, Warm, Mushy MTB ride",Ride,,5737,29.8,,FALSE,Kestrel Legend,activities/104568655.tcx.gz
95917465,"Nov 18, 2013, 9:45:25 PM",Night time ride to Sterling & home,Ride,,6980,48.45,,FALSE,Kestrel Legend,activities/104754616.tcx.gz
96059064,"Nov 19, 2013, 8:08:02 PM",Blowing off work stress run,Run,,1985,6.61,,FALSE,,activities/104915472.tcx.gz
96264781,"Nov 20, 2013, 8:25:16 PM",mtb skills day...find stuff and jump over it,Ride,,3154,15.31,,FALSE,Kestrel Legend,activities/105139223.tcx.gz
96376464,"Nov 21, 2013, 7:55:56 PM",Falling will make me a better MTB'er,Ride,,5268,17.48,,FALSE,Kestrel Legend,activities/105258180.tcx.gz
96500863,"Nov 22, 2013, 7:03:00 PM",Nottoway Park Lollipop Run,Run,,2559,8.43,,FALSE,,activities/105394425.tcx.gz
96725031,"Nov 23, 2013, 7:29:35 PM",MTB 2 loops (Adv + Int) @ Fountainhead,Ride,,8039,25.9,,FALSE,Kestrel Legend,activities/105650255.tcx.gz
97850698,"Nov 29, 2013, 8:34:17 PM",Chasing the Sunset in Cape May,Run,,2745,10.1,,FALSE,,activities/106937035.tcx.gz
98179512,"Dec 1, 2013, 7:40:53 PM",Exploring Gambrill State Park with my neighbor,Ride,,6952,12.03,,FALSE,Kestrel Legend,activities/107311321.tcx.gz
98369138,"Dec 2, 2013, 6:02:50 PM",Commute to & from work...good base miles,Ride,,24132,54.89,,TRUE,Kestrel Legend,activities/107535171.tcx.gz
98829021,"Dec 5, 2013, 7:20:01 PM",Cruising on MTB in 60 degree weather :),Ride,,8329,41.95,,FALSE,Kestrel Legend,activities/108040769.tcx.gz
99764001,"Dec 11, 2013, 7:54:46 PM",Snow Trail Run: Work -> Lake Fairfax -> Chipotle!!!,Run,,3482,9.89,,FALSE,,activities/109103343.tcx.gz
101004227,"Dec 19, 2013, 8:53:44 PM",Last ride in VA for 2013,Ride,,5790,42.28,,FALSE,Kestrel Legend,activities/110439559.tcx.gz
101329227,"Dec 21, 2013, 6:07:54 PM",Fun & easy transition run,Run,,891,2.22,,FALSE,,activities/110790741.tcx.gz
101329228,"Dec 21, 2013, 4:39:49 PM",25 mph winds @ Island Beach State Park ,Ride,,4755,36.37,,FALSE,Kestrel Legend,activities/110790742.tcx.gz
101424004,"Dec 22, 2013, 2:10:14 PM",Rainy but warm Dirty Jerz ride,Ride,,7682,45.82,,FALSE,Kestrel Legend,activities/110894364.tcx.gz
101592855,"Dec 23, 2013, 6:11:23 PM",CT run in major rainstorm.  HTFU,Run,,2546,8.91,,FALSE,,activities/101592855.gpx
102035489,"Dec 26, 2013, 6:24:06 PM",2/3rds of sleeping giant state park run,Run,,1860,5.78,,FALSE,,activities/102035489.gpx
102491228,"Dec 28, 2013, 8:39:18 PM",Easy NJ trail run with Tommy B,Run,,2777,7.05,,FALSE,,activities/112059259.tcx.gz
102598206,"Dec 29, 2013, 12:45:15 PM",Trail run before the rain hits in Toms River,Run,,2463,7.31,,FALSE,,activities/112175916.tcx.gz
102852567,"Dec 30, 2013, 5:49:41 PM","Cape May Sites: Lighthouse, Beach, Coast Guard, Bay",Ride,,6527,48.84,,FALSE,Kestrel Legend,activities/112458348.tcx.gz
103111983,"Dec 31, 2013, 9:07:24 PM",Soft Sand Cape May Beach run...last workout of 2013,Run,,1871,5.55,,FALSE,,activities/112740233.tcx.gz
105189119,"Jan 9, 2014, 6:11:44 PM",Lunch ride with Titus to get him started,Ride,,6340,47.17,38,FALSE,Kestrel Legend,activities/114977744.fit.gz
105189705,"Jan 7, 2014, 10:39:37 PM",Trainer Ride: Double Pyramid,Ride,,3667,30.13,38,FALSE,Kestrel Legend,activities/114978444.fit.gz
