Title,WorkoutType,WorkoutDescription,PlannedDuration,PlannedDistanceInMeters,WorkoutDay,CoachComments,DistanceInMeters,PowerAverage,PowerMax,Energy,AthleteComments,TimeTotalInHours,VelocityAverage,VelocityMax,CadenceAverage,CadenceMax,HeartRateAverage,HeartRateMax,TorqueAverage,TorqueMax,IF,TSS,HRZone1Minutes,HRZone2Minutes,HRZone3Minutes,HRZone4Minutes,HRZone5Minutes,HRZone6Minutes,HRZone7Minutes,HRZone8Minutes,HRZone9Minutes,HRZone10Minutes,PWRZone1Minutes,PWRZone2Minutes,PWRZone3Minutes,PWRZone4Minutes,PWRZone5Minutes,PWRZone6Minutes,PWRZone7Minutes,PWRZone8Minutes,PWRZone9Minutes,PWRZone10Minutes,Rpe,Feeling
2500yds: 2 x (4x50 Sprint! + 4x100 Paddles+Buoy),Swim,"We are going to have a mixture of short speed (50s) and relative short strength work (100s). The 50s have lots of rest, so go fast! The 100s are more aerobic paced so short rest. Toward the end, we really mess you up and have you try for some OWS (open water stroke). During the OWS, please sight every 3-5 strokes. It'll be a good mental challenge while battling the muscle fatigue. . Warm-up 400 Pull 1:00 300 Free :45 200 Pull :30 (Get your time, this is your 100 pace for the 100 pull set later) . 4 x 50 Build :20 . Repeat this set 2 times. Your goal is to hold speed on the 50s and pace on the 100s. The 50s should feel as fast as the end of the 4x50 build. Use the extra rest so you can PUSH! . 4 x 50 SPRINT! :45 4 x 100 Paddles and buoy @ faster than 200 Pull pace from WU :15 100 Easy 1:00",0.75,,2019-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bike,"Let's work on pushing our top end power. We are going to focus on Microbursts. Short and Long: 30/30s prep you for a sufferfest above threshold. You'll start with a 5 minute block of 30 seconds as hard as you can go followed by 30 seconds of rest. Rest is anything from easy pedaling (the first time you do these workouts you'll want to just spin easy) to tempo pace (as you get more comfortable with the intervals and want to tax your body a little more.) Following the last 30 second rest, launch directly into a 5 minute VO2 interval with an intensity around 110% of your FTP and hold it the best you can. Take 7-10 minutes rest then repeat it again. Worst 5 minutes known to mankind (and pyramid variation): Be prepared for varying lengths of intervals today (which is a great way to build race pace fitness.) Start with 10 seconds all out with 50 seconds of recovery. Next move to 20 seconds all out with 40 seconds recovery. Then 30 on/30 off. Then 40 on/20 off. Finally, 50 seconds all out with 10 seconds of recovery. Do 2 sets with 3 minutes of rest between them. If you're feeling up to a huge challenge, you can do the “pyramid” by completing the 5 minutes then immediately reversing the order and going back down. So 10/50, 20/40, 30/30, 40/20, 50/10, 50/10, 40/20, 30/30, 20/40, 10/50. Beware: that pyramid is REALLY HARD! 30/30s For The Win: It's all about short duration power today. Start with a block of 5 minutes of 30 seconds all out/30 seconds rest. Take 2 minutes rest then launch into a race winner. What's a “race winner”? It simulates attacking a field and breaking away. Start off by sprinting all out for 10 seconds, then ride 20 seconds at 150% FTP, followed by 3 minutes at 115% FTP. Sprint as hard as you still can for the last 10 seconds of the interval. You're looking at 3:30 of pure VO2 max beatdown. Rest for 5-7 minutes and then do it all over again.",,,2019-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zwift - Richmond,Bike,"Hold threshold power after a short effort above threshold. It doesn't look threatening on paper but it will smack you around! . 10' WU . Repeat 2 times 30"" LT (100% FTP) 2' Easy . Repeat 5 times 1' AeC (110% FTP) 2' Easy . Repeat 3 times... 1' AnC (120% FTP) 4' LT (100% FTP) 5' Easy",,,2019-02-15,,40661.87891,220,693,857.524,,1.084444404,10.41499996,,0,,0,0,,,0.761168235,62.27,,,,,,,,,,,4,37,18,4,0,1,,,,,,
Zwift - Watopia,Bike,"4 minutes easy spin (<55% of FTP or Functional Threshold Power, <3 RPE or Rate of Perceived Exertion, on a scale of 1-10) 3 minutes build from 70% FTP to 100% FTP (5-7.5 RPE) 1 minute easy spin (<55% of FTP, <3 RPE) 5 second sprint “opener” (90% of max effort) 2 minute easy spin (<55% of FTP, <3 RPE) Main Set 4 x ( 10 seconds max effort 20 seconds @ 130% FTP (9 RPE) 4 minutes @ 100% FTP (7.5 RPE) 20 seconds @ 130% FTP (9 RPE) 10 seconds max effort 5 minutes easy spin (<55% of FTP, <3 RPE) ) Cool-down 5 minutes easy spin (<55% of FTP, <3 RPE)",,,2019-02-16,,32238.48047,238,474,894.603,,1.041929722,8.593999863,,0,,0,0,,,0.886414514,80.6,,,,,,,,,,,10,21,10,11,7,4,,,,,,
60': Active Recovery with 5 x 1' bursts,Bike,Nice aerobic workout that doubles as active recovery. We do a long WU up to 80% your threshold and then mix in a few short bursts to help flush the legs. . 30' building warm-up . 10' AeT (70% FTP) . Repeat 5 times: 1' Low LT (90% FTP) 3' Easy (55% FTP),1,,2019-02-17,,34670.17188,203,545,781.379,,1.067499995,9.020999908,,0,,0,0,,,0.725420515,55.85,,,,,,,,,,,20,29,14,0,0,1,,,,,,
2300yds: 3 x 300 broken pace efforts with paddle strength,Swim,We are doing some fun pacing today. Enjoy the warm-up and focus on your stroke. Then get locked in after the 2x100s as they set your pace for the remainder of the workout. . Repeat two times: 200 Free 200 Paddles 4 x 50 Fins (25 Drill + 25 Swim) 200 Paddles 2 x 100 moderate pace (capture time and take average...this is your pace for the workout) . 300 @ Pace + 3 second :30 100 Paddles Smooth 1:00 . 3 x 100 @ pace :15 100 Paddles Smooth 1:00 . 6 x 50 @ pace - 3 seconds :15 100 Paddles Smooth 1:00 . 100 CD,0.666666667,,2019-02-18,,1828.800049,,,,,0.43469139,1.168381662,,24,,,,,,1.022436762,46.46,,,,,,,,,,,,,,,,,,,,,,
57': Active recovery - 3 x (7' AeT + 7' High AeT),Bike,,0.95,,2019-02-18,,26274.43945,208,351,633.316,,0.847593844,8.609999657,,0,,0,0,,,0.704803794,41.61,,,,,,,,,,,2,46,3,0,0,0,,,,,,
65': 4 x 8' Cruise Intervals with 1' punch,Bike,We are going to work a little 70.3 intensity and then a one minute push at the end of the effort to remind you that we can always go harder! The last 2 are a 5% increase so don't get cocky after the first 2 ;) . 15' Progressive WU . 5' AeT (70% FTP) . Repeat 2 times: 7' Tempo (80% FTP) 1' LT (95% FTP) 2' Easy (55% FTP) . 5' AeT (70% FTP) . Repeat 2 times: 7' Tempo (85% FTP) 1' LT (100% FTP) 2' Easy (55% FTP),1.083333333,,2019-02-20,,33155.10156,221,300,730.051,,0.919444442,10.01599979,,0,,0,0,,,0.758313146,52.33,,,,,,,,,,,7,19,26,3,0,0,,,,,,
Does this work?,Other,Shorter ride but LOTS of low cadence intervals. We really want to tax the legs with sustained climbing efforts. . 12' progressive WU . Repeat 2 times: 6' LT @ 70-75 rpm (90% FTP) 2' Easy @ 90-95 rpm (55% FTP) . Repeat 2 times: 4' LT @ 70-75 rpm (100% FTP) 2' Easy @ 90-95 rpm (55% FTP),0.666666667,,2019-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Does this work?,Other,Shorter ride but LOTS of low cadence intervals. We really want to tax the legs with sustained climbing efforts. . 12' progressive WU . Repeat 2 times: 6' LT @ 70-75 rpm (90% FTP) 2' Easy @ 90-95 rpm (55% FTP) . Repeat 2 times: 4' LT @ 70-75 rpm (100% FTP) 2' Easy @ 90-95 rpm (55% FTP),0.666666667,,2019-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bike,"– 10-15 minutes: Warm-up – 3×30 seconds: At Zone 3–4 with 30 seconds rest – 2 minutes: Easy spin – 5 minutes: Steady tempo—85 RPM. Make it hurt, but keep it within your limits. – 2 minutes: Easy spin – 8×1 minutes: Grinders: Low cadence, high gears, stay seated. Your heart rate should be near lactate threshold. Recover with 1 minute of soft pedaling after each rep. – 4×30 seconds: Grinders: Low cadence, high gears, get out of the saddle! Recover with 30 seconds of seated soft pedaling. – 5-10 minutes: Cool-down",,,2019-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Swim,"I do what I call the “Karen Smyers” workout. It’s 10 broken 150s, all on the same interval for the 150, but it starts with 50 fast, 100 easy. For the first 5, add 5s to the 50 and subtract 5s from the 100. Repeat the fifth one then go back, getting faster on the 50 and easier on the 100.",,,2019-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90': 6 x 1' efforts + 4 x 6' climbs + 6 x 1' efforts,Bike,Great mixture of short sprints to get your body warm before we climb! We aren't doing long efforts today but the number of efforts will wear you down so make sure you EAT and hydrate properly! The entire workout should be done @ 80-90 rpm except for the 6' climbing sections. . 16' progressive WU . Repeat 6 times: 1' LT (90% FTP / Oly Race RPE) 1' Easy (55% FTP) . 5' AeT (70% FTP / IM Race RPE) . Repeat 4 times...climbing! 6' LT @ 70-75 rpm (100% FTP / Oly Race RPE) 4' Easy (55% FTP) . 5' AeT (70% FTP / IM Race RPE) . Repeat 6times: 1' LT (90% FTP / Oly Race RPE) 1' Easy (55% FTP),1.5,,2019-02-23,,43904.71875,226,301,1030.62,,1.268872976,9.611000061,,0,,0,0,,,0.81370741,82.65,,,,,,,,,,,23,20,10,23,0,0,,,,,,
20' Transition Run: Consistent Marathon RPE,Run,Transition run. Think a steady marathon RPE. Be consistent in your effort today but don't overdo the pace.,0.333333333,,2019-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40': 4 x 6' LT Muscular Endurance Efforts,Bike,Shorter ride but LOTS of low cadence intervals. We really want to tax the legs with sustained climbing efforts. . 12' progressive WU . Repeat 2 times: 6' LT @ 70-75 rpm (90% FTP) 2' Easy @ 90-95 rpm (55% FTP) . Repeat 2 times: 4' LT @ 70-75 rpm (100% FTP) 2' Easy @ 90-95 rpm (55% FTP),0.666666667,,2019-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elliptical,Other,,,,2019-02-25,,0,,,,,0.250550836,0,,83,,128,147,,,0.613147634,10.08,13,2,0,0,0,0,0,,,,,,,,,,,,,,,
,Strength,Mckenzie Exercises and some upper body work,,,2019-02-25,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Strength,Mckenzie Exercises and some upper body work,,,2019-02-28,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elliptical,Other,,,,2019-02-28,,0,,,,,0.250541955,0,,84,,132,153,,,0.631462689,10.7,10,5,0,0,0,0,0,,,,,,,,,,,,,,,
Zwift - Watopia,Bike,,,,2019-03-02,,34016.01172,227,437,825.853,,1.011388898,9.342000008,,0,,0,0,,,0.802775161,64.7,,,,,,,,,,,7,27,14,7,4,1,,,,,,
,Bike,"No climbing during this workout. It's a flatlander's course! We do LOTS of aerobic work, but we mix in some short, 1' efforts at threshold. . 20' Progressive WU . Repeat 4 times 3' AeT (70% FTP / IM race RPE) 1' LT (90% FTP / Oly race RPE) 1' LT (100% FTP / Sprint race RPE) . Repeat 3 times: 5' Low AeT (65% FTP / Easier than IM RPE) 5' High AeT (75% FTP / IM Race RPE) 5' Tempo (85% FTP / 70.3 Race RPE) . Repeat 4 times 1' LT (100% FTP / Sprint race RPE) 3' Easy (55% FTP)",,,2019-03-03,,32299.60938,195,361,908.82,,1,8.972113715,,0,,0,0,,,0.70870517,50.65,,,,,,,,,,,19,36,23,0,0,0,,,,,,
Elliptical,Other,,,,2019-03-04,,0,,,,,0.25224638,0,,87,,139,159,,,0.657784016,11.69,8,7,1,0,0,0,0,,,,,,,,,,,,,,,
,Strength,Strength,,,2019-03-04,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55': Aerobic Pyramid,Bike,Nice active recovery pyrarmid...watch for the changes in cadence on the way down. . Start up the pyramid @ 80-90 rpm 5' @ 55% FTP (RPE 4 / Easy) 5' @ 60% FTP (RPE 5 / Easy) 5' @ 65% FTP (RPE 5.5 / under IM race RPE) 5' @ 70% FTP (RPE 6 / IM race RPE) 5' @ 75% FTP (RPE 6.5 / IM race RPE) 5' @ 80% FTP (RPE 7 / low 70.3 race RPE) Down the pyramid @ 85-95 rpm 5' @ 75% FTP (RPE 6.5 / IM race RPE) 5' @ 70% FTP (RPE 6 / IM race RPE) 5' @ 65% FTP (RPE 5.5 / under IM race RPE) 5' @ 60% FTP (RPE 5 / Easy) 5' @ 55% FTP (RPE 4 / Easy),,,2019-03-06,,31895.21094,202,368,672.193,,0.924166679,9.586000443,,0,,0,0,,,0.687935375,43.42,,,,,,,,,,,6,45,5,0,0,0,,,,,,
Indoor Cycling,Bike,,,,2019-03-08,,0,,,,,0.509328902,0,,,,125,150,,,0.614462971,20.94,6,23,1,0,0,,,,,,,,,,,,,,,,,
Aerobic cruise,Bike,,,,2019-03-09,,32348.34961,206,222,744.495,,1.002777815,8.960000038,,0,,0,0,,,0.690730516,47.49,,,,,,,,,,,0,60,0,0,0,0,,,,,,
Lap Swimming,Swim,,,,2019-03-10,,1828.799072,,,,,0.436909447,1.162186391,,23,,,,,,1.017245616,45.99,,,,,,,,,,,,,,,,,,,,,,
Zwift - Watopia,Bike,,,,2019-03-10,,26913.80078,249,464,685.062,,0.764722228,9.776000023,,0,,0,0,,,0.869247382,57.22,,,,,,,,,,,1,18,13,8,5,1,,,,,,
Abbreviated recovery ride #TeethingScreams,Bike,,,,2019-03-11,,11058.95996,180,210,253.342,,0.389999986,7.875999928,,0,,0,0,,,0.612994656,14.36,,,,,,,,,,,25,18,0,0,0,0,,,,,,
Indoor Cycling,Bike,,,,2019-03-12,,0,,,,,0.424176127,0,,,,123,140,,,0.608552619,17.07,5,20,0,0,0,,,,,,,,,,,,,,,,,
60': 30' WU + 30' (2' tempo + 3' LT + 1' easy),Bike,We are going to dial up the pain! One of the best ways to increase your threshold is by operating at or just below your threshold. The first 30 minutes are going to seem like a walk in the park versus the last 30 minutes. Here we go! . 15' progressive WU 5 x (1' @ LT + 2' easy) . Repeat this set 5 times 2' @ high tempo 3' @ LT 1' easy . Please ride @ 85-95 rpm for the entire workout,,,2019-03-13,,17632.94922,202,241,380.608,,0.522777796,9.369000435,,0,,0,0,,,0.683877367,24.22,,,,,,,,,,,1,30,0,0,0,0,,,,,,
Lap Swimming,Swim,,,,2019-03-13,,2011.678955,,,,,0.487188613,1.146430229,,23,,,,,,1.003489455,49.23,,,,,,,,,,,,,,,,,,,,,,
Running,Run,,,,2019-03-14,,1622.300049,,,,,0.138187498,3.260999918,,76,,129,146,,,0.911690812,12.12,8,0,0,0,0,0,0,,,,,,,,,,,,,,,
Cycling,Bike,,,,2019-03-14,,32292.58984,225,692,797.612,,0.983640552,9.119000435,,88,,,,,,0.865464015,73.51,,,,,,,,,,,14,9,13,14,6,4,,,,,,
Cycling,Bike,,,,2019-03-15,,32535.96094,206,586,751.563,,1.011176705,8.937999725,,87,,,,,,0.746822527,55.73,,,,,,,,,,,12,22,18,6,1,1,,,,,,
Lap Swimming,Swim,,,,2019-03-16,,1828.799072,,,,,0.430491947,1.17947011,,24,,,,,,1.032410068,47.37,,,,,,,,,,,,,,,,,,,,,,
Running,Run,,,,2019-03-16,,4045.090088,,,,,0.333671659,3.367000103,,76,,143,165,,,0.916996467,30.26,10,9,1,1,0,0,0,,,,,,,,,,,,,,,
,Bike,"Longer ride that is designed to get you to think about your pacing and focus on aerobic capacity. Use your devices but consciously think about how it feels during each effort. You can do this inside or outside. If outside, try your best to get the efforts in please. Use the 20' sections as active recovery and aerobic engine building. Nail the 10' and 5' efforts. . 15' WU . Repeat 3 times... 20' @ High AeT (70% FTP / ~IM race pace) 10' @ tempo (85% FPT / 70.3 race pace) 5' @ high tempo/low LT (90% FTP / Above 70.3) 5' Easy (55% FTP)",,,2019-03-17,,47334.98047,212,271,1029.454,,1.349166632,9.744999886,,0,,0,0,,,0.72742449,70.99,,,,,,,,,,,7,51,22,0,0,0,,,,,,
20' Transition Run: 5' easy + 15' build to race RPE,Run,Easy first 5'and then use the last 15 minutes to build to race RPE.,,,2019-03-17,,2430.27002,,,,,0.200266108,3.371000051,,78,,144,163,,,0.944683563,19.02,5,5,2,0,0,0,0,,,,,,,,,,,,,,,
,Day Off,Rest,,,2019-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
